detected_at_utc,status,signature,actionable,bookmakers,market,event_date,roi_pct,max_liquidity,match,fixture_id,tournament,kickoff_utc,market_id,market_type,period,line,legs_json,arb_sum_S,roi_decimal,total_stake_max,stake_split_json,max_profit,binding_book,min_leg_limit,shadow_books,involves_exchange,low_confidence,suspicious,bet_links_json
2026-06-05T15:47:12Z,NEW,29be75248342ab3c,true,"polymarket, kalshi, 1xbet",Full Time Result,2026-06-05,0.8906,85.24,Russia vs Burkina Faso,id1000085171527262,Int. Friendly Games,2026-06-05T17:00:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""polymarket"", ""decimal_odds"": 1.587, ""american_odds"": ""-170"", ""limit"": 1562.94, ""stake"": 54.19, ""changed_at"": ""2026-06-05T15:47:04.754Z""}, {""outcome"": ""X"", ""book"": ""kalshi"", ""decimal_odds"": 4.762, ""american_odds"": ""376"", ""limit"": 18.06, ""stake"": 18.06, ""changed_at"": ""2026-06-05T15:44:07.080Z""}, {""outcome"": ""2"", ""book"": ""1xbet"", ""decimal_odds"": 6.62, ""american_odds"": ""562"", ""limit"": null, ""stake"": 12.99, ""changed_at"": ""2026-06-05T15:32:28.911Z""}]",0.991173,0.008906,85.24,"{""polymarket"": 54.19, ""kalshi"": 18.06, ""1xbet"": 12.99}",0.76,kalshi,18.06,[],true,true,false,"{""polymarket"": """", ""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05rusbur"", ""1xbet"": ""https://1xbet.com/line/soccer/125983-e/325925232-russia-burkina-faso""}"
2026-06-05T15:47:12Z,NEW,d04d4cc246970c45,true,"1xbet, kalshi, polymarket",Full Time Result,2026-06-05,0.5654,109.38,Azerbaijan vs Malta,id1000085171421948,Int. Friendly Games,2026-06-05T18:00:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""1xbet"", ""decimal_odds"": 1.944, ""american_odds"": ""-106"", ""limit"": null, ""stake"": 56.59, ""changed_at"": ""2026-06-05T15:27:23.146Z""}, {""outcome"": ""X"", ""book"": ""kalshi"", ""decimal_odds"": 3.704, ""american_odds"": ""270"", ""limit"": 133.38, ""stake"": 29.7, ""changed_at"": ""2026-06-05T15:46:20.537Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 4.762, ""american_odds"": ""376"", ""limit"": 23.1, ""stake"": 23.1, ""changed_at"": ""2026-06-05T15:46:29.539Z""}]",0.994377,0.005654,109.38,"{""1xbet"": 56.59, ""kalshi"": 29.7, ""polymarket"": 23.1}",0.62,polymarket,23.1,[],true,true,false,"{""1xbet"": ""https://1xbet.com/line/soccer/125983-e/338431692-azerbaijan-malta"", ""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05azemlt"", ""polymarket"": """"}"
2026-06-05T15:47:12Z,NEW,557aaf3653ea8630,true,"pinnacle, polymarket",Asian Handicap,2026-06-05,168.736,121.31,Saudi Arabia vs Puerto Rico,id1000085171916524,Int. Friendly Games,2026-06-05T23:00:00.000Z,1052,asian_handicap,fulltime,-2.5,"[{""outcome"": ""1"", ""book"": ""pinnacle"", ""decimal_odds"": 2.84, ""american_odds"": ""184"", ""limit"": 300.0, ""stake"": 114.79, ""changed_at"": ""2026-06-05T15:40:29.884Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 50.0, ""american_odds"": ""4900"", ""limit"": 6.52, ""stake"": 6.52, ""changed_at"": ""2026-06-05T15:47:03.882Z""}]",0.372113,1.68736,121.31,"{""pinnacle"": 114.79, ""polymarket"": 6.52}",204.69,polymarket,6.52,[],true,false,true,"{""pinnacle"": ""https://www.pinnacle.com/en/e/e/e/1631499052/#all"", ""polymarket"": """"}"
2026-06-05T15:47:12Z,NEW,a43113bd2041273c,true,"pinnacle, polymarket",Asian Handicap,2026-06-05,63.9219,270.45,Saudi Arabia vs Puerto Rico,id1000085171916524,Int. Friendly Games,2026-06-05T23:00:00.000Z,1060,asian_handicap,fulltime,-1.5,"[{""outcome"": ""1"", ""book"": ""pinnacle"", ""decimal_odds"": 1.724, ""american_odds"": ""-138"", ""limit"": 414.0, ""stake"": 257.15, ""changed_at"": ""2026-06-05T15:40:29.884Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 33.333, ""american_odds"": ""3233"", ""limit"": 13.3, ""stake"": 13.3, ""changed_at"": ""2026-06-05T15:46:58.982Z""}]",0.610047,0.639219,270.45,"{""pinnacle"": 257.15, ""polymarket"": 13.3}",172.88,polymarket,13.3,[],true,false,true,"{""pinnacle"": ""https://www.pinnacle.com/en/e/e/e/1631499052/#all"", ""polymarket"": """"}"
2026-06-05T15:47:12Z,NEW,947fbe4ede99bee1,true,"1xbet, kalshi, polymarket",Full Time Result,2026-06-05,0.7321,2018.82,Canada vs Ireland,id1000085169832096,Int. Friendly Games,2026-06-05T23:30:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""1xbet"", ""decimal_odds"": 1.777, ""american_odds"": ""-129"", ""limit"": null, ""stake"": 1144.4, ""changed_at"": ""2026-06-05T15:31:05.789Z""}, {""outcome"": ""X"", ""book"": ""kalshi"", ""decimal_odds"": 4.0, ""american_odds"": ""300"", ""limit"": 508.4, ""stake"": 508.4, ""changed_at"": ""2026-06-05T15:47:06.550Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 5.556, ""american_odds"": ""456"", ""limit"": 1135.82, ""stake"": 366.02, ""changed_at"": ""2026-06-05T15:47:09.124Z""}]",0.992732,0.007321,2018.82,"{""1xbet"": 1144.4, ""kalshi"": 508.4, ""polymarket"": 366.02}",14.78,kalshi,508.4,[],true,true,false,"{""1xbet"": ""https://1xbet.com/line/soccer/125983-e/326375048-canada-republic-of-ireland"", ""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05canirl"", ""polymarket"": """"}"
2026-06-05T15:47:12Z,NEW,b2da7c06aeec7e58,true,"1xbet, polymarket",Asian Handicap,2026-06-06,2.8134,681.04,Qatar vs El Salvador,id1000085171170362,Int. Friendly Games,2026-06-06T20:00:00.000Z,1060,asian_handicap,fulltime,-1.5,"[{""outcome"": ""1"", ""book"": ""1xbet"", ""decimal_odds"": 3.415, ""american_odds"": ""242"", ""limit"": null, ""stake"": 205.04, ""changed_at"": ""2026-06-05T15:45:31.736Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 1.471, ""american_odds"": ""-212"", ""limit"": 476.0, ""stake"": 476.0, ""changed_at"": ""2026-06-05T15:47:14.622Z""}]",0.972635,0.028134,681.04,"{""1xbet"": 205.04, ""polymarket"": 476.0}",19.16,polymarket,476,[],true,true,false,"{""1xbet"": ""https://1xbet.com/line/soccer/125983-e/339139710-qatar-el-salvador"", ""polymarket"": """"}"
2026-06-05T16:15:26Z,NEW,e8ebfa7ce44550b0,true,"kalshi, 1xbet, polymarket",Full Time Result,2026-06-05,2.2723,347.81,Paraguay vs Nicaragua,id1000085171306982,Int. Friendly Games,2026-06-05T22:15:00.000Z,101,1x2,fulltime,,"[{""outcome"": ""1"", ""book"": ""kalshi"", ""decimal_odds"": 1.136, ""american_odds"": ""-735"", ""limit"": 19917.36, ""stake"": 313.12, ""changed_at"": ""2026-06-05T16:14:40.877Z""}, {""outcome"": ""X"", ""book"": ""1xbet"", ""decimal_odds"": 16.0, ""american_odds"": ""1500"", ""limit"": null, ""stake"": 22.23, ""changed_at"": ""2026-06-05T16:02:18.491Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 28.571, ""american_odds"": ""2757"", ""limit"": 12.45, ""stake"": 12.45, ""changed_at"": ""2026-06-05T16:14:57.761Z""}]",0.977782,0.022723,347.81,"{""kalshi"": 313.12, ""1xbet"": 22.23, ""polymarket"": 12.45}",7.9,polymarket,12.45,[],true,true,false,"{""kalshi"": ""https://kalshi.com/markets/kxintlfriendlygame/e#kxintlfriendlygame-26jun05parnic"", ""1xbet"": ""https://1xbet.com/line/soccer/125983-e/329200084-paraguay-nicaragua"", ""polymarket"": """"}"
2026-06-05T16:44:17Z,UPDATED,36a185022f8e9ef2,true,"1xbet, polymarket",Asian Handicap,2026-06-05,0.7439,659.11,Canada vs Ireland,id1000085169832096,Int. Friendly Games,2026-06-05T23:30:00.000Z,1060,asian_handicap,fulltime,-1.5,"[{""outcome"": ""1"", ""book"": ""1xbet"", ""decimal_odds"": 3.415, ""american_odds"": ""242"", ""limit"": null, ""stake"": 194.44, ""changed_at"": ""2026-06-05T16:30:02.112Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 1.429, ""american_odds"": ""-233"", ""limit"": 464.67, ""stake"": 464.67, ""changed_at"": ""2026-06-05T16:44:19.022Z""}]",0.992616,0.007439,659.11,"{""1xbet"": 194.44, ""polymarket"": 464.67}",4.9,polymarket,464.67,[],true,true,false,"{""1xbet"": ""https://1xbet.com/line/soccer/125983-e/326375048-canada-republic-of-ireland"", ""polymarket"": """"}"
2026-06-05T16:38:16Z,UPDATED,90b504ac3f68c675,true,"1xbet, polymarket",Asian Handicap,2026-06-06,3.439,648.48,Qatar vs El Salvador,id1000085171170362,Int. Friendly Games,2026-06-06T20:00:00.000Z,1060,asian_handicap,fulltime,-1.5,"[{""outcome"": ""1"", ""book"": ""1xbet"", ""decimal_odds"": 3.485, ""american_odds"": ""248"", ""limit"": null, ""stake"": 192.48, ""changed_at"": ""2026-06-05T16:23:08.008Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 1.471, ""american_odds"": ""-212"", ""limit"": 456.0, ""stake"": 456.0, ""changed_at"": ""2026-06-05T16:33:18.547Z""}]",0.966754,0.03439,648.48,"{""1xbet"": 192.48, ""polymarket"": 456.0}",22.3,polymarket,456,[],true,true,false,"{""1xbet"": ""https://1xbet.com/line/soccer/125983-e/339139710-qatar-el-salvador"", ""polymarket"": """"}"
2026-06-05T16:31:37Z,NEW,78fc73706596153c,true,"1xbet, polymarket",Over Under Full Time,2026-06-07,4.6706,49.69,Liechtenstein vs Cyprus,id1000085171445288,Int. Friendly Games,2026-06-07T13:00:00.000Z,1010,totals,fulltime,2.5,"[{""outcome"": ""Over"", ""book"": ""1xbet"", ""decimal_odds"": 2.245, ""american_odds"": ""125"", ""limit"": null, ""stake"": 23.17, ""changed_at"": ""2026-06-05T16:30:49.380Z""}, {""outcome"": ""Under"", ""book"": ""polymarket"", ""decimal_odds"": 1.961, ""american_odds"": ""-104"", ""limit"": 26.52, ""stake"": 26.52, ""changed_at"": ""2026-06-05T16:30:31.302Z""}]",0.955378,0.046706,49.69,"{""1xbet"": 23.17, ""polymarket"": 26.52}",2.32,polymarket,26.52,[],true,true,false,"{""1xbet"": ""https://1xbet.com/line/soccer/125983-e/336297796-liechtenstein-cyprus"", ""polymarket"": """"}"
2026-06-05T16:44:17Z,NEW,c9a3a0bb2bcdf46e,true,"pinnacle, polymarket",Asian Handicap,2026-06-05,66.9025,265.62,Saudi Arabia vs Puerto Rico,id1000085171916524,Int. Friendly Games,2026-06-05T23:00:00.000Z,1060,asian_handicap,fulltime,-1.5,"[{""outcome"": ""1"", ""book"": ""pinnacle"", ""decimal_odds"": 1.757, ""american_odds"": ""-132"", ""limit"": 396.0, ""stake"": 252.32, ""changed_at"": ""2026-06-05T16:36:44.286Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 33.333, ""american_odds"": ""3233"", ""limit"": 13.3, ""stake"": 13.3, ""changed_at"": ""2026-06-05T16:39:12.083Z""}]",0.599152,0.669025,265.62,"{""pinnacle"": 252.32, ""polymarket"": 13.3}",177.71,polymarket,13.3,[],true,false,true,"{""pinnacle"": ""https://www.pinnacle.com/en/e/e/e/1631499052/#all"", ""polymarket"": """"}"
2026-06-05T16:44:17Z,NEW,806469b3f6c68728,true,"pinnacle, polymarket",Asian Handicap,2026-06-05,174.995,118.55,Saudi Arabia vs Puerto Rico,id1000085171916524,Int. Friendly Games,2026-06-05T23:00:00.000Z,1052,asian_handicap,fulltime,-2.5,"[{""outcome"": ""1"", ""book"": ""pinnacle"", ""decimal_odds"": 2.91, ""american_odds"": ""191"", ""limit"": 300.0, ""stake"": 112.03, ""changed_at"": ""2026-06-05T16:36:44.286Z""}, {""outcome"": ""2"", ""book"": ""polymarket"", ""decimal_odds"": 50.0, ""american_odds"": ""4900"", ""limit"": 6.52, ""stake"": 6.52, ""changed_at"": ""2026-06-05T16:39:16.233Z""}]",0.363643,1.74995,118.55,"{""pinnacle"": 112.03, ""polymarket"": 6.52}",207.45,polymarket,6.52,[],true,false,true,"{""pinnacle"": ""https://www.pinnacle.com/en/e/e/e/1631499052/#all"", ""polymarket"": """"}"
