ts_utc,game,market_type,market_key,line,side_a,venue_a,price_a,side_b,venue_b,price_b,implied_cost,roi_pct,net_edge_pct,arb_survived,would_trade,exec_status,confidence,note
2026-07-08T00:09:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:09:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:09:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:10:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:10:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:10:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:11:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:11:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:11:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:12:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:12:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:12:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:13:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:13:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:13:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:14:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:14:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
